,zip,arrest_count
0,10457.0,1154
1,10452.0,1070
2,10035.0,958
3,11208.0,953
4,11212.0,886
5,10466.0,852
6,11224.0,817
7,10451.0,788
8,10027.0,773
9,10019.0,760
10,10013.0,759
11,10454.0,759
12,10467.0,738
13,10029.0,715
14,10036.0,704
15,11226.0,688
16,11373.0,686
17,11432.0,681
18,10456.0,672
19,11207.0,665
20,11213.0,654
21,11201.0,639
22,10002.0,636
23,10473.0,621
24,11434.0,614
25,10468.0,608
26,10001.0,592
27,11385.0,562
28,11101.0,554
29,10453.0,553
30,11220.0,553
31,10031.0,550
32,11236.0,541
33,10458.0,535
34,11691.0,533
35,11216.0,528
36,10032.0,517
37,11237.0,512
38,10030.0,511
39,10459.0,496
40,10301.0,496
41,11221.0,494
42,10455.0,494
43,10018.0,492
44,10025.0,491
45,11206.0,489
46,10003.0,488
47,11354.0,483
48,11103.0,479
49,10463.0,475
50,10011.0,459
51,10460.0,448
52,11203.0,445
53,11412.0,441
54,10461.0,440
55,11418.0,434
56,10033.0,422
57,11369.0,418
58,10472.0,416
59,11211.0,406
60,10314.0,399
61,11368.0,389
62,11225.0,387
63,10010.0,382
64,11234.0,378
65,10009.0,372
66,10014.0,371
67,11375.0,370
68,11435.0,365
69,11232.0,363
70,11223.0,359
71,11210.0,353
72,10474.0,344
73,11230.0,344
74,11233.0,342
75,10465.0,342
76,11417.0,339
77,10005.0,337
78,11428.0,316
79,11214.0,308
80,11433.0,307
81,11217.0,303
82,10306.0,297
83,10304.0,269
84,11222.0,266
85,10303.0,263
86,11205.0,263
87,11219.0,261
88,11365.0,259
89,11235.0,258
90,10302.0,254
91,11209.0,252
92,11377.0,245
93,11355.0,243
94,10469.0,240
95,11231.0,240
96,11420.0,235
97,10039.0,229
98,10022.0,229
99,10026.0,227
100,10037.0,227
101,10024.0,222
102,11372.0,222
103,10034.0,217
104,10016.0,216
105,10462.0,213
106,10065.0,212
107,10040.0,206
108,11419.0,197
109,11106.0,193
110,11415.0,183
111,10012.0,170
112,11239.0,167
113,11229.0,161
114,11693.0,160
115,10310.0,158
116,11238.0,154
117,11361.0,150
118,10470.0,148
119,11102.0,143
120,11204.0,135
121,11413.0,130
122,11218.0,125
123,10307.0,124
124,10305.0,121
125,11692.0,118
126,11215.0,118
127,10312.0,118
128,10017.0,116
129,10023.0,115
130,10007.0,110
131,11423.0,99
132,11228.0,95
133,11436.0,93
134,11416.0,93
135,11421.0,93
136,11249.0,92
137,11422.0,91
138,11378.0,89
139,10475.0,88
140,10128.0,87
141,11427.0,87
142,10122.0,84
143,10309.0,80
144,11105.0,79
145,11367.0,79
146,11370.0,77
147,11429.0,77
148,11356.0,69
149,10119.0,66
150,10021.0,62
151,11374.0,61
152,11357.0,59
153,11379.0,56
154,10028.0,55
155,11104.0,54
156,11358.0,53
157,11694.0,46
158,10038.0,43
159,10111.0,42
160,11411.0,42
161,10075.0,42
162,11364.0,41
163,11414.0,39
164,11362.0,38
165,10107.0,33
166,10471.0,32
167,10115.0,28
168,10308.0,26
169,10004.0,23
170,11360.0,22
171,11366.0,18
172,11426.0,18
173,11040.0,18
174,10044.0,16
175,11004.0,15
176,10129.0,15
177,10006.0,14
178,11371.0,14
179,11363.0,13
180,11109.0,12
181,10281.0,11
182,11251.0,11
183,10199.0,10
184,10278.0,9
185,10048.0,9
186,10311.0,9
187,11227.0,8
188,10282.0,7
189,11430.0,7
190,10069.0,7
191,10158.0,6
192,10275.0,6
193,11001.0,5
194,10464.0,5
195,12692.0,4
196,10155.0,4
197,11096.0,4
198,10000.0,4
199,11451.0,3
200,10803.0,3
201,11252.0,3
202,10152.0,3
203,11425.0,2
204,10120.0,2
205,10280.0,2
206,11439.0,2
207,10178.0,1
208,10704.0,1
209,11697.0,1
210,10285.0,1
211,7202.0,1
212,10105.0,1
213,10162.0,1
